benchmark,consensus_replicate,converged,convergence_tolerance,dual_residual,final_status,iteration,iteration_count,maximum_iterations,method,primal_residual,raw_conflict_count,rho,unresolved_conflict_count
pglib_case14_ieee,qci_sample_021,False,1e-06,1.7863306044397244e-15,completed,26,30,200,QCi SC-CMPO,8.772735128406663e-06,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.7682338556354638e-15,completed,27,30,200,QCi SC-CMPO,4.386367564199164e-06,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.4090226695023689e-15,completed,28,30,200,QCi SC-CMPO,2.19318378209908e-06,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.5883247886225412e-15,completed,29,30,200,QCi SC-CMPO,1.0965920295206208e-06,441,1.0,0
pglib_case14_ieee,qci_sample_021,True,1e-06,1.6940425206832355e-15,completed,30,30,200,QCi SC-CMPO,5.482960688128361e-07,441,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,4.3149655545975804e-16,completed,1,34,200,QCi SC-CMPO,5044.5799231393285,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,8.737549185851856e-16,completed,2,34,200,QCi SC-CMPO,2522.2899615696642,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.7053358414536169e-13,completed,3,34,200,QCi SC-CMPO,1261.1449807848323,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.410641689923946e-13,completed,4,34,200,QCi SC-CMPO,630.5724903924162,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.4106570859597037e-13,completed,5,34,200,QCi SC-CMPO,315.2862451962081,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.410646587447176e-13,completed,6,34,200,QCi SC-CMPO,157.64312259810367,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.4106451282738827e-13,completed,7,34,200,QCi SC-CMPO,78.82156129905272,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.4807754320113009e-15,completed,8,34,200,QCi SC-CMPO,39.410780649526245,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.8226390348028007e-15,completed,9,34,200,QCi SC-CMPO,19.70539032476262,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.410675709762084e-13,completed,10,34,200,QCi SC-CMPO,9.852695162381115,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.8132579369222246e-13,completed,11,34,200,QCi SC-CMPO,4.9263475811909245,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.7054507858251842e-13,completed,12,34,200,QCi SC-CMPO,2.46317379059505,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.7053687050211084e-13,completed,13,34,200,QCi SC-CMPO,1.2315868952980342,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.4062300426968191e-12,completed,14,34,200,QCi SC-CMPO,0.6157934476482723,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.7054507096870676e-13,completed,15,34,200,QCi SC-CMPO,0.3078967238238462,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.3642431489335498e-12,completed,16,34,200,QCi SC-CMPO,0.15394836191260025,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.7054964120609987e-13,completed,17,34,200,QCi SC-CMPO,0.07697418095608613,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,2.7497185428385482e-12,completed,18,34,200,QCi SC-CMPO,0.03848709047789229,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.055301205488299e-12,completed,19,34,200,QCi SC-CMPO,0.01924354523836513,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.4062303349042975e-12,completed,20,34,200,QCi SC-CMPO,0.009621772619636301,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.8132414878213907e-13,completed,21,34,200,QCi SC-CMPO,0.004810886310059777,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.7054239028594346e-13,completed,22,34,200,QCi SC-CMPO,0.0024054431548504616,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.4106594463296826e-13,completed,23,34,200,QCi SC-CMPO,0.0012027215771823123,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.3642438167091407e-12,completed,24,34,200,QCi SC-CMPO,0.0006013607892668095,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.3642428629553535e-12,completed,25,34,200,QCi SC-CMPO,0.000300680393946173,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.410665578163274e-13,completed,26,34,200,QCi SC-CMPO,0.00015034019739316456,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,2.0582771373390678e-15,completed,27,34,200,QCi SC-CMPO,7.517009838211378e-05,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,2.728485282551053e-12,completed,28,34,200,QCi SC-CMPO,3.758504865739362e-05,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,2.7284853794755184e-12,completed,29,34,200,QCi SC-CMPO,1.8792524758501147e-05,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,2.4385862537714094e-15,completed,30,34,200,QCi SC-CMPO,9.396262704668806e-06,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.4106758953555093e-13,completed,31,34,200,QCi SC-CMPO,4.698131197851025e-06,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,3.8132090906942886e-13,completed,32,34,200,QCi SC-CMPO,2.3490654721604782e-06,431,1.0,0
pglib_case14_ieee,qci_sample_022,False,1e-06,1.7054298989026725e-13,completed,33,34,200,QCi SC-CMPO,1.1745332447718774e-06,431,1.0,0
pglib_case14_ieee,qci_sample_022,True,1e-06,2.5507580610666674e-15,completed,34,34,200,QCi SC-CMPO,5.872661726258129e-07,431,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,8.049116928532385e-16,completed,1,30,200,QCi SC-CMPO,350.645859655231,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,1.5600942174174511e-15,completed,2,30,200,QCi SC-CMPO,175.3229298276155,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.0217411387612132e-15,completed,3,30,200,QCi SC-CMPO,87.6614649138081,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.8493687240001462e-15,completed,4,30,200,QCi SC-CMPO,43.83073245690369,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.6841929671486916e-15,completed,5,30,200,QCi SC-CMPO,21.915366228451383,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.5716724099853656e-15,completed,6,30,200,QCi SC-CMPO,10.95768311422572,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.6134770707853404e-15,completed,7,30,200,QCi SC-CMPO,5.478841557113528,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.63732743400483e-15,completed,8,30,200,QCi SC-CMPO,2.73942077855692,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,3.6703862897851616e-15,completed,9,30,200,QCi SC-CMPO,1.3697103892782718,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,3.687863810972328e-15,completed,10,30,200,QCi SC-CMPO,0.6848551946381636,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.7804018861527475e-15,completed,11,30,200,QCi SC-CMPO,0.342427597320255,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.674212261161648e-15,completed,12,30,200,QCi SC-CMPO,0.171213798659543,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.480593915238288e-15,completed,13,30,200,QCi SC-CMPO,0.08560689933016048,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.836683988196944e-15,completed,14,30,200,QCi SC-CMPO,0.04280344966418463,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.478487038975374e-15,completed,15,30,200,QCi SC-CMPO,0.021401724832946552,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.7066756480419325e-15,completed,16,30,200,QCi SC-CMPO,0.010700862416969832,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.683387892120291e-15,completed,17,30,200,QCi SC-CMPO,0.005350431207880847,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.5445691242888368e-15,completed,18,30,200,QCi SC-CMPO,0.0026752156038831196,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.934897848269117e-15,completed,19,30,200,QCi SC-CMPO,0.0013376078020054755,527,1.0,0
