dataset,scenario,patch,method_name,repeat_count,best_cost,median_cost,p10_cost,p90_cost,std_cost,best_critical_load_served_fraction,median_runtime_seconds,feasibility_rate
pglib_case30_adapted,local_generator_failure,BUS5_MG-BUS7_MG,CMPO + QCi Dirac-3,20,105.9906284306818,141.3738411745971,107.1825596186818,172.68109559640067,26.4133714874842,1.0,291.0,1.0
pglib_case30_adapted,local_generator_failure,BUS5_MG-BUS7_MG,CMPO-V2 + QCi Dirac-3,30,199.7389070792343,202.91461259834088,200.66134390117912,203.6578413751409,1.0659391306509869,1.0,432.0,1.0
pglib_case30_adapted,local_generator_failure,BUS7_MG,CMPO + QCi Dirac-3,20,78.0987806653409,78.0987806653409,78.0987806653409,78.0987806653409,4.4938668397781774e-15,0.0,21.0,1.0
pglib_case30_adapted,local_generator_failure,BUS7_MG,CMPO-V2 + QCi Dirac-3,30,78.0987806653409,78.0987806653409,78.0987806653409,103.19556146534092,11.73192891620165,1.0,31.0,1.0
pglib_case30_adapted,normal,BUS12_MG,CMPO + QCi Dirac-3,20,94.92052466534086,95.52616466534089,95.52616466534089,95.52616466534089,0.13199617780830356,0.0,22.0,1.0
pglib_case30_adapted,normal,BUS12_MG,CMPO-V2 + QCi Dirac-3,30,93.72052466534088,96.25660053434089,95.46560066534089,107.38024466534092,5.976710193987066,1.0,31.0,1.0
pglib_case30_adapted,normal,BUS1_MG,CMPO + QCi Dirac-3,20,55.64683300540032,56.15868931594419,56.15868931594415,56.158689315944194,0.11155649656371361,0.0,21.0,1.0
pglib_case30_adapted,normal,BUS1_MG,CMPO-V2 + QCi Dirac-3,30,56.15868931594414,56.15868931594419,56.158689315944144,64.52326568366874,3.3338381594017323,1.0,31.0,1.0
pglib_case30_adapted,normal,BUS1_MG-BUS2_MG,CMPO + QCi Dirac-3,20,198.34445207409536,277.1567708369741,222.01286317132204,334.18644379239487,48.75463480527323,1.0,290.0,1.0
pglib_case30_adapted,normal,BUS1_MG-BUS2_MG,CMPO-V2 + QCi Dirac-3,30,332.7699128327098,367.72517177523713,344.25281062385454,396.4318284148975,19.455315422847345,1.0,434.0,1.0
