dataset,scenario,method_name,expected_operating_cost,risk_adjusted_cost,critical_load_served_fraction,critical_energy_not_served_kwh,energy_not_served_kwh,max_fraction_customers_unserved_per_hour,total_critical_infrastructure_unserved_hours_proxy,runtime_seconds
pglib_case57_adapted,renewable_shortfall,GreedyCriticalLoadFirst,1450.7148025142556,1450.7148025142556,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case57_adapted,renewable_shortfall,IPOPT/Pyomo nonlinear baseline,1450.7153116023512,1450.7153116023512,1.0,0.0,0.0,0.0,0.0,0.09861362498486409
pglib_case57_adapted,renewable_shortfall,SLSQPDispatchOptimizer,1450.7153116023512,1450.7153116023512,1.0,0.0,0.0,0.0,0.0,0.0908461459912359
pglib_case57_adapted,renewable_shortfall,QUBO/quadratized local search baseline,1452.2385380328865,1452.2385380328865,1.0,0.0,0.0,0.0,0.0,2.9023630834417418
pglib_case5_pjm_adapted,demand_surge,Piecewise-linear MILP baseline,716.7045745123153,716.7045745123153,1.0,0.0,17.287783735706007,0.00195202791812715,0.0,0.0301228750031441
pglib_case5_pjm_adapted,demand_surge,DifferentialEvolutionOptimizer,788.3043709617868,898.8993249734344,0.7157368165884261,503.77694590180283,1788.2000078466808,0.20191230940160984,6.0,0.07094383350340644
pglib_case5_pjm_adapted,demand_surge,CMPO + QCi Dirac-3,918.0074928023162,1043.7491731023163,0.7754427622943265,272.24384999999995,967.9050674499999,0.1092897587477847,6.0,15.0
pglib_case5_pjm_adapted,demand_surge,Stress-only reserve heuristic baseline,1433.9426855008367,1433.9426855008367,1.0,0.0,1360.4784000000002,0.1536166728719529,0.0,5.756196333095431e-05
pglib_case5_pjm_adapted,demand_surge,IPOPT/Pyomo nonlinear baseline,1645.2190434640318,1645.2206579340138,0.9999946732913227,0.00645787992833515,61.00067349135354,0.006887812775778,3.0,0.198121124994941
pglib_case5_pjm_adapted,demand_surge,SLSQPDispatchOptimizer,1645.2190434640318,1645.2206579340138,0.9999946732913227,0.00645787992833515,61.00067349135354,0.006887812775778,3.0,0.2088540415279567
pglib_case5_pjm_adapted,demand_surge,CMPO-local polynomial search,1650.2360158640836,1650.2360158640836,1.0,0.0,66.26699999999992,0.00748245327614585,0.0,0.5721549790468998
